Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Loan_Status,monthly expenses
Male,No,0,Graduate,No,5849,,360,1,Y,2924.5
Male,Yes,1,Graduate,No,4583,128,360,1,N,2291.5
Male,Yes,0,Graduate,Yes,3000,66,360,1,Y,1500
Male,Yes,0,Not Graduate,No,2583,120,360,1,Y,1291.5
Male,No,0,Graduate,No,6000,141,360,1,Y,3000
Male,Yes,2,Graduate,Yes,5417,267,360,1,Y,2708.5
Male,Yes,0,Not Graduate,No,2333,95,360,1,Y,1166.5
Male,Yes,3+,Graduate,No,3036,158,360,0,N,1518
Male,Yes,2,Graduate,No,4006,168,360,1,Y,2003
Male,Yes,1,Graduate,No,12841,349,360,1,N,6420.5
Male,Yes,2,Graduate,No,3200,70,360,1,Y,1600
Male,Yes,2,Graduate,,2500,109,360,1,Y,1250
Male,Yes,2,Graduate,No,3073,200,360,1,Y,1536.5
Male,No,0,Graduate,No,1853,114,360,1,N,926.5
Male,Yes,2,Graduate,No,1299,17,120,1,Y,649.5
Male,No,0,Graduate,No,4950,125,360,1,Y,2475
Male,No,1,Not Graduate,No,3596,100,240,,Y,1798
Female,No,0,Graduate,No,3510,76,360,0,N,1755
Male,Yes,0,Not Graduate,No,4887,133,360,1,N,2443.5
Male,Yes,0,Graduate,,2600,115,,1,Y,1300
Male,Yes,0,Not Graduate,No,7660,104,360,0,N,3830
Male,Yes,1,Graduate,No,5955,315,360,1,Y,2977.5
Male,Yes,0,Not Graduate,No,2600,116,360,0,N,1300
,Yes,2,Not Graduate,No,3365,112,360,0,N,1682.5
Male,Yes,1,Graduate,,3717,151,360,,N,1858.5
Male,Yes,0,Graduate,Yes,9560,191,360,1,Y,4780
Male,Yes,0,Graduate,No,2799,122,360,1,Y,1399.5
Male,Yes,2,Not Graduate,No,4226,110,360,1,Y,2113
Male,No,0,Not Graduate,No,1442,35,360,1,N,721
Female,No,2,Graduate,,3750,120,360,1,Y,1875
Male,Yes,1,Graduate,,4166,201,360,,N,2083
Male,No,0,Graduate,No,3167,74,360,1,N,1583.5
Male,No,1,Graduate,Yes,4692,106,360,1,N,2346
Male,Yes,0,Graduate,No,3500,114,360,1,Y,1750
Male,No,3+,Graduate,No,12500,320,360,1,N,6250
Male,Yes,0,Graduate,No,2275,,360,1,Y,1137.5
Male,Yes,0,Graduate,No,1828,100,,0,N,914
Female,Yes,0,Graduate,No,3667,144,360,1,Y,1833.5
Male,No,0,Graduate,No,4166,184,360,1,Y,2083
Male,No,0,Not Graduate,No,3748,110,360,1,Y,1874
Male,No,0,Graduate,No,3600,80,360,1,N,1800
Male,No,0,Graduate,No,1800,47,360,1,Y,900
Male,Yes,0,Graduate,No,2400,75,360,,Y,1200
Male,Yes,0,Graduate,No,3941,134,360,1,Y,1970.5
Male,Yes,0,Not Graduate,Yes,4695,96,,1,Y,2347.5
Female,No,0,Graduate,No,3410,88,,1,Y,1705
Male,Yes,1,Graduate,No,5649,44,360,1,Y,2824.5
Male,Yes,0,Graduate,No,5821,144,360,1,Y,2910.5
Female,Yes,0,Graduate,No,2645,120,360,0,N,1322.5
Female,No,0,Graduate,No,4000,144,360,1,Y,2000
Female,Yes,0,Not Graduate,No,1928,100,360,1,Y,964
Female,No,0,Graduate,No,3086,120,360,1,Y,1543
Female,No,0,Graduate,No,4230,112,360,1,N,2115
Male,Yes,2,Graduate,No,4616,134,360,1,N,2308
Female,Yes,1,Graduate,Yes,11500,286,360,0,N,5750
Male,Yes,2,Graduate,No,2708,97,360,1,Y,1354
Male,Yes,0,Graduate,No,2132,96,360,1,Y,1066
Male,Yes,0,Graduate,No,3366,135,360,1,N,1683
Male,Yes,1,Graduate,No,8080,180,360,1,Y,4040
Male,Yes,2,Not Graduate,No,3357,144,360,1,Y,1678.5
Male,Yes,0,Graduate,No,2500,120,360,1,Y,1250
Male,Yes,3+,Graduate,No,3029,99,360,1,Y,1514.5
Male,Yes,0,Not Graduate,Yes,2609,165,180,0,N,1304.5
Male,Yes,1,Graduate,No,4945,,360,0,N,2472.5
Female,No,0,Graduate,No,4166,116,360,0,N,2083
Male,Yes,0,Graduate,No,5726,258,360,1,N,2863
Male,No,0,Not Graduate,No,3200,126,180,0,N,1600
Male,Yes,1,Graduate,No,10750,312,360,1,Y,5375
Male,Yes,3+,Not Graduate,Yes,7100,125,60,1,Y,3550
Female,No,0,Graduate,No,4300,136,360,0,N,2150
Male,Yes,0,Graduate,No,3208,172,360,1,Y,1604
Male,Yes,2,Not Graduate,Yes,1875,97,360,1,Y,937.5
Male,No,0,Graduate,No,3500,81,300,1,Y,1750
Male,Yes,3+,Not Graduate,No,4755,95,,0,N,2377.5
Male,Yes,3+,Graduate,Yes,5266,187,360,1,Y,2633
Male,No,0,Graduate,No,3750,113,480,1,N,1875
Male,No,0,Graduate,No,3750,176,360,1,N,1875
Male,Yes,1,Graduate,Yes,1000,110,360,1,N,500
Male,Yes,3+,Graduate,No,3167,180,300,0,N,1583.5
Male,Yes,3+,Not Graduate,Yes,3333,130,360,,Y,1666.5
Female,No,0,Graduate,No,3846,111,360,1,Y,1923
Male,Yes,1,Graduate,Yes,2395,,360,1,Y,1197.5
Female,Yes,2,Graduate,No,1378,167,360,1,N,689
Male,Yes,0,Graduate,No,6000,265,360,,N,3000
Male,Yes,1,Graduate,No,3988,50,240,1,Y,1994
Male,No,0,Graduate,No,2366,136,360,1,Y,1183
Male,Yes,2,Not Graduate,No,3333,99,360,,Y,1666.5
Male,Yes,0,Graduate,No,2500,104,360,1,Y,1250
Male,No,0,Graduate,No,8566,210,360,1,Y,4283
Male,Yes,0,Graduate,No,5695,175,360,1,Y,2847.5
Male,Yes,0,Graduate,No,2958,131,360,1,Y,1479
Male,Yes,2,Graduate,No,6250,188,180,1,Y,3125
Male,Yes,2,Not Graduate,No,3273,81,360,1,Y,1636.5
Male,No,0,Graduate,No,4133,122,360,1,Y,2066.5
Male,No,0,Not Graduate,No,3620,25,120,1,Y,1810
Male,No,0,Graduate,,6782,,360,,N,3391
Female,Yes,0,Graduate,No,2484,137,360,1,Y,1242
Male,Yes,0,Graduate,No,1977,50,360,1,Y,988.5
Male,Yes,0,Not Graduate,No,4188,115,180,1,Y,2094
Male,Yes,0,Graduate,No,1759,131,360,1,Y,879.5
Male,Yes,2,Not Graduate,No,4288,133,180,1,Y,2144
Male,No,0,Graduate,No,4843,151,360,1,Y,2421.5
Male,Yes,,Graduate,No,13650,,360,1,Y,6825
Male,Yes,0,Graduate,No,4652,,360,1,Y,2326
Male,,,Graduate,No,3816,160,360,1,Y,1908
Male,Yes,1,Graduate,No,3052,100,360,1,Y,1526
Male,Yes,2,Graduate,No,11417,225,360,1,Y,5708.5
Male,No,0,Not Graduate,,7333,120,360,1,N,3666.5
Male,Yes,2,Graduate,No,3800,216,360,0,N,1900
Male,Yes,3+,Not Graduate,No,2071,94,480,1,Y,1035.5
Male,No,0,Graduate,No,5316,136,360,1,Y,2658
